text,created_at,author_id
"Update on the 7-day Avg. of new #covid19 Deaths in the #UnitedStates. 

https://t.co/eKdLIyHiwS

As at yesterday, top states with high 7-day average of deaths are: #Florida #California #Texas #NewYork and #Georgia 

#omicron #coronavirus https://t.co/tyNtZTJ9nQ",2022-08-26 16:38:33+00:00,1097544120321691649
RT @Laurie_Garrett: More evidence #SARSCoV2 is evolving ever-more efficient ways to bypass our immune systems: this study shows that the in…,2022-08-26 16:36:29+00:00,801096699259260928
"Update on the 7-day Avg. of new #covid19 cases in the #UnitedStates.

As at yesterday, top states with high 7-day average of cases:  #California #Texas #Florida #NewYork and #Illinois 

https://t.co/eKdLIyHiwS

#omicron #BA5  #coronavirus #covid_19 https://t.co/vlWwGzz6yE",2022-08-26 16:36:18+00:00,1097544120321691649
"RT @Oxford_NDPH: New @NPEU_UKOSS results: 

Most pregnant women with moderate to severe #COVID19 infection who were admitted to hospital du…",2022-08-26 16:33:08+00:00,1332378843575971840
"RT @CanCovid: .@UBC researchers discovered a “key vulnerability across all major variants of the SARS-CoV-2 virus, including the recently e…",2022-08-26 16:31:30+00:00,588330753
"RECORD DI MORTALITA' COVID IN GIAPPONE.
Il Giappone sta avendo la più alta ondata di mortalità per COVID con 280 decessi (giornalieri come media 7 giorni con un record assoluto di 347 decessi martedì scorso) da quando è iniziata la pandemia.
#omicron #japan #covid_19 #coronavirus https://t.co/xDVF0c96wT",2022-08-26 16:31:28+00:00,3567059896
"RT @maskupbc: Weekly Numbers have been posted

Days without a #BC mask mandate: 167

Lives lost since lifting the mask mandate: 1142

Total…",2022-08-26 16:27:24+00:00,110728224
"RT @Oxford_NDPH: New @NPEU_UKOSS results: 

Most pregnant women with moderate to severe #COVID19 infection who were admitted to hospital du…",2022-08-26 16:26:45+00:00,2414595612
"RT @nicolasberrod: Depuis l'arrivée d'#Omicron, la part de patients ""Covid accessoire"" parmi ceux hospitalisés a nettement augmenté, passan…",2022-08-26 16:26:39+00:00,2328788477
"Update on the number of new #covid19 deaths in the  #UnitedStates.  

Yesterday, there were  594 new deaths.

Top states with high new deaths yesterday: #Oklahoma #Florida #Massachusetts #Tennessee and #Texas 

https://t.co/eKdLIyHiwS

#coronavirus #covid_19 #omicron #BA5 https://t.co/LtIK09Rr8U",2022-08-26 16:24:37+00:00,1097544120321691649
"Update on the number of new #covid19 cases in the  #UnitedStates.  

Yesterday, there were 124,730 new cases.

Top states with high new cases yesterday: #Ohio #Alabama #Minnesota #Texas and #Massachusetts

https://t.co/eKdLIyHiwS
 
#covid_19 #omicron #BA5 https://t.co/KDAkpIyWdS",2022-08-26 16:22:35+00:00,1097544120321691649
"RT @maskupbc: Weekly Numbers have been posted

Days without a #BC mask mandate: 167

Lives lost since lifting the mask mandate: 1142

Total…",2022-08-26 16:16:31+00:00,1499805599827038217
"So. I’m fairly certain I have #COVID19 

All the symptoms and body pains are the same as when I first had it but the antigen tests are showing negative. 

Do antigen tests work with #Omicron ? This is day 2/3 of symptoms. (At home from work today)",2022-08-26 16:16:10+00:00,1517952774826307587
"RT @dubbiogiusto: e anche quest'anno i #vaccini funzioneranno l'anno prossimo 

#centaurus #omicron #pfizer #covid19 #moderna https://t.co/…",2022-08-26 16:15:18+00:00,1255599134310043654
RT @Cheikh_Redac: Coup de tonnerre aux #USA  : la justice de #Washington se révolte et déchire l’obligation vaccinale imposée aux fonctionn…,2022-08-26 16:11:53+00:00,1493475583
